pop_fit_avg,pop_fit_var,pop_fit_max,pop_fit_min,pop_opt_avg,pop_opt_var,pop_opt_max,pop_opt_min,pnt_fit_avg,pnt_fit_var,pnt_fit_max,pnt_fit_min,pnt_opt_avg,pnt_opt_var,pnt_opt_max,pnt_opt_min,gen,pop_uni_obj,com_sol_cnt,ele_agg_per,ele_opt_cnt,com_agg_per,com_opt_cnt,opt_agg_per,opt_obj_cnt,los_div,sel_pre,sel_var
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,1,0,0
0.28798,0.312716,2.79733,0,0,0,100,0,0.28798,0.312716,2.79733,0,0,0,0,0,1,0,346,2.79733,0,0,0,0,0,1,5.32539e-16,1
0.561217,0.640863,4.0274,0,0,0,0,0,0.561217,0.640863,4.0274,0,0,0,0,0,2,0,250,4.0274,0,0,0,2.02947,0,1,0,1
0.847075,1.06037,5.7581,0,0,0,0,0,0.847075,1.06037,5.7581,0,0,0,0,0,3,0,170,5.7581,0,0,0,5.3763,0,1,-2.09404e-16,1
1.08237,1.41304,7.58979,0,0,0,0,0,1.08237,1.41304,7.58979,0,0,0,0,0,4,0,132,7.58979,0,0,0,5.3763,0,1,1.57139e-16,1
1.38195,1.62303,7.81262,0,0,0,0,0,1.38195,1.62303,7.81262,0,0,0,0,0,5,0,91,7.81262,0,0,0,7.81262,0,1,6.84043e-16,1
1.69617,1.98764,7.83313,0,0,0,0,0,1.69617,1.98764,7.83313,0,0,0,0,0,6,0,59,7.83313,0,0,0,7.81262,0,1,2.23426e-16,1
1.99527,2.47891,8.1586,0,0,0,0,0,1.99527,2.47891,8.1586,0,0,0,0,0,7,0,42,8.1586,0,0,0,8.1586,0,1,2.68721e-16,1
2.22907,2.87955,9.98146,0,0,0,0,0,2.22907,2.87955,9.98146,0,0,0,0,0,8,0,34,9.98146,0,0,0,9.98146,0,1,-1.54222e-16,1
2.47044,3.12145,11.2428,0,0,0,0,0,2.47044,3.12145,11.2428,0,0,0,0,0,9,0,22,11.2428,0,0,0,11.2428,0,1,0,1
2.78717,3.37012,11.2428,0,0,0,0,0,2.78717,3.37012,11.2428,0,0,0,0,0,10,0,15,11.2428,0,0,0,11.2428,0,1,-1.31773e-16,1
3.0198,3.71424,11.2428,0,0,0,0,0,3.0198,3.71424,11.2428,0,0,0,0,0,11,0,7,11.2428,0,0,0,11.2428,0,1,3.58692e-16,1
3.26167,3.97353,10.6846,0,0,0,0,0,3.26167,3.97353,10.6846,0,0,0,0,0,12,0,5,10.6846,0,0,0,10.6846,0,1,-2.23524e-16,1
3.50694,4.29858,10.6846,0,0,0,0,0,3.50694,4.29858,10.6846,0,0,0,0,0,13,0,3,10.6846,0,0,0,10.6846,0,1,-1.03311e-16,1
3.78033,4.54249,11.1449,0,0,0,0,0,3.78033,4.54249,11.1449,0,0,0,0,0,14,0,3,11.1449,0,0,0,11.1449,0,1,-1.95527e-16,1
4.01395,4.94948,13.461,0,0,0,0,0,4.01395,4.94948,13.461,0,0,0,0,0,15,0,3,13.461,0,0,0,13.461,0,1,-1.79449e-16,1
4.25435,5.14643,13.461,0,0,0,0,0,4.25435,5.14643,13.461,0,0,0,0,0,16,0,3,13.461,0,0,0,13.461,0,1,0,1
4.52965,5.74562,13.461,0,0,0,0,0,4.52965,5.74562,13.461,0,0,0,0,0,17,0,2,13.461,0,0,0,13.461,0,1,-1.54584e-16,1
4.84878,6.31153,13.461,0,0,0,0,0,4.84878,6.31153,13.461,0,0,0,0,0,18,0,1,13.461,0,13.461,0,13.461,0,1,1.40723e-16,1
5.07948,6.89192,14.8671,0,0,0,0,0,5.07948,6.89192,14.8671,0,0,0,0,0,19,0,1,14.8671,0,13.461,0,13.461,0,1,-2.57745e-16,1
